date,open,high,low,close,volume
2026-06-11,71.700,71.700,70.500,71.600,447600
2026-06-12,71.600,71.900,70.700,70.800,514900
2026-06-15,71.900,72.300,70.800,72.300,577600
2026-06-16,72.300,72.700,71.700,72.700,569400
2026-06-17,72.700,73.900,72.400,73.600,560900
2026-06-18,73.600,73.600,72.500,73.000,382900
2026-06-19,72.500,73.000,72.300,72.500,194000
2026-06-22,72.500,72.500,71.200,72.500,397000
2026-06-23,72.200,72.200,71.300,71.400,412700
2026-06-24,71.500,71.500,69.900,70.300,532200
2026-06-25,70.800,71.600,70.400,71.600,308500
2026-06-26,71.000,71.600,70.900,71.600,150100
2026-06-29,71.600,73.800,71.000,72.000,666400
2026-06-30,72.900,73.200,72.200,72.700,378000
2026-07-01,72.600,72.700,71.700,72.500,353800
2026-07-02,72.000,72.400,71.000,72.000,888300
2026-07-03,72.000,72.300,71.100,72.000,485000
2026-07-06,72.400,72.400,70.000,70.300,977200
2026-07-07,70.300,71.700,68.000,71.700,804500
2026-07-08,71.500,71.500,70.200,71.000,469700
2026-07-09,70.300,70.400,69.400,69.500,588300
2026-07-10,68.600,69.500,68.600,68.800,540900
2026-07-13,68.300,68.300,66.800,67.600,792900
2026-07-14,67.600,67.800,66.400,67.500,473900
2026-07-15,67.500,67.500,66.100,66.100,259100
2026-07-16,66.200,66.500,63.100,66.200,493000
2026-07-17,66.000,66.200,63.500,63.500,426800
2026-07-20,63.500,63.500,59.100,59.100,713500
2026-07-21,58.100,60.300,58.000,58.600,322400
2026-07-22,58.300,59.500,56.000,56.000,661800
2026-07-23,56.200,58.500,54.700,56.900,458000
2026-07-24,56.700,56.700,54.900,55.100,291600
2026-07-27,56.300,57.900,55.000,55.200,533400
2026-07-28,55.000,57.800,55.000,57.600,462600
2026-07-29,57.200,57.600,56.700,57.400,217600
2026-07-30,57.000,59.500,56.700,59.100,576600
2026-07-31,59.600,61.000,58.900,61.000,718500
2026-08-03,60.600,62.800,60.500,62.600,502300
2026-08-04,62.700,63.600,61.800,63.600,415500
