date,open,high,low,close,volume
2026-06-11,61.500,61.900,61.300,61.600,2588500
2026-06-12,61.900,62.100,61.600,61.600,3152300
2026-06-15,62.300,62.400,61.600,61.600,5222300
2026-06-16,61.800,62.300,61.600,61.800,3110000
2026-06-17,61.290,61.880,61.090,61.690,6825500
2026-06-18,61.790,61.880,61.090,61.090,4650700
2026-06-19,61.390,61.390,60.690,61.190,4869000
2026-06-22,61.190,61.290,60.690,60.790,2686300
2026-06-23,61.190,62.080,60.790,60.790,5176000
2026-06-24,60.890,61.090,60.500,60.500,2542500
2026-06-25,60.600,60.790,60.300,60.300,3093500
2026-06-26,60.500,60.990,60.300,60.890,3344300
2026-06-29,61.090,61.690,60.890,61.490,5481600
2026-06-30,61.690,62.080,61.390,61.690,4622500
2026-07-01,61.880,62.480,61.590,62.480,4232900
2026-07-02,62.480,62.580,61.590,61.590,2744500
2026-07-03,61.790,61.880,61.490,61.490,2601900
2026-07-06,61.490,61.980,60.200,60.690,4173100
2026-07-07,60.690,60.990,60.400,60.790,2547200
2026-07-08,60.790,61.290,60.600,61.090,2051000
2026-07-09,60.790,60.990,60.500,60.600,2209800
2026-07-10,60.600,60.990,60.000,60.000,3016400
2026-07-13,60.000,60.000,58.310,58.410,6789000
2026-07-14,58.410,59.010,58.120,58.710,2829200
2026-07-15,58.710,58.910,58.220,58.710,2633300
2026-07-16,58.610,59.310,57.920,58.910,3349700
2026-07-17,58.810,58.810,58.020,58.020,1990100
2026-07-20,58.310,58.310,55.840,56.230,8536800
2026-07-21,56.230,56.730,56.130,56.230,3413200
2026-07-22,56.330,56.630,54.050,54.050,9173400
2026-07-23,54.100,54.900,52.600,54.000,7435600
2026-07-24,54.000,55.300,53.200,54.100,2503700
2026-07-27,54.500,54.800,53.500,54.000,2581300
2026-07-28,53.700,54.600,53.300,54.100,2607000
